20000000000000000;392306423;735144;1
10000000000000000;384851784;711563;1
22001000030030000;3890298;235732;8
11200000033000000;3848723;226787;8
10000002000000030;51550130;187475;4
20000000100000003;53630074;179504;4
10000000200000003;58695800;169867;4
20000001000000030;46925754;166054;4
10001002000030030;4060745;145065;8
20001002000030030;4048941;140330;8
20002010000030300;3911095;123268;8
21201000033030000;3797883;115847;8
10020100000303000;3889571;114721;8
10000201200003033;3807704;114385;8
10120000002300000;1458447;77125;8
20000002100000023;1295670;76349;8
10000000100000003;51533869;75140;4
20000000200000003;56573480;75106;4
11201000033030000;3605383;68652;8
20000201200003033;3618873;67450;8
10000010200000303;9738051;66357;8
20000010200000303;9733709;64932;8
11200000023000000;1367794;59104;8
20000021000000230;1231188;57421;8
10002000100030003;4536651;48337;8
22000100030003000;4605678;45636;8
20020100000202000;531734;44400;8
21000010030000300;7014299;44246;4
10000020200000303;7554481;42867;4
10000002100000022;516097;42351;8
20000001200000023;1265460;38613;8
10000002100000023;1109547;38259;8
20210200002303000;748370;34202;8
10120100002303000;748310;32020;8
10002012000030330;1178947;30500;4
12000200030003000;8600767;29608;8
21020100030303000;755936;29539;8
20120100003303000;1020128;29494;4
10002010200030303;787101;29047;8
20001000100030003;8507440;28209;8
12120000031200000;151248;27874;8
10210200002303000;661040;26359;8
20010200100301002;135151;25977;8
20000200100002002;527633;25968;8
20120100002303000;664745;25742;8
10000021000000220;527076;24632;8
21201000032030000;1367542;24078;8
10102001003030030;234242;24053;4
20102200003033000;228953;23963;4
22100200033003000;106068;23697;8
10000201200003023;1468919;22957;8
10100200103003003;103796;22925;8
20002010100030303;502213;22243;8
20000101200003022;199821;20719;8
10210200003202000;205637;20416;8
12020100030303000;517713;20390;8
21201020033030300;65471;19792;8
11020100030302000;147382;19756;8
12102010033030300;64357;19457;8
20210000202300003;140040;18913;8
12002010030030300;2151970;18684;8
21120000033300000;2100205;18049;8
22000021030000330;471301;17361;8
20001200100033003;497080;17205;8
10002010100030303;450781;17185;8
12100002033000030;487989;17122;8
10002012000030230;532926;16684;4
10001200000033000;4657845;15890;4
10122200003333000;392584;15400;8
20100002003000030;4651159;15216;4
20000102200002033;1394344;15121;8
20000002000000030;49681410;15103;4
21201100033033000;366244;14958;8
11201000032030000;1291857;14684;8
20200110003003300;693493;14345;8
10000001000000030;45092122;14318;4
12000102030003030;731371;14288;8
20000021200000333;25898;14274;4
20000000200000002;1674724;14201;4
20001021000030230;480224;13894;4
10010000000200000;1786042;13881;4
21000010230000303;1308763;13853;8
22100002033000030;437361;13503;8
11102200033033000;406520;13482;8
22002012030030320;479301;13458;8
10210001003300030;442788;13398;8
11020000230300003;1291680;13353;8
20001122000033330;399893;13302;8
21102200033033000;414603;13143;8
11002010030030300;24301;13071;4
10001122000033330;409099;13040;8
11001021030030320;482326;12957;8
12002012030030330;2361163;12926;8
21120100033303000;2202650;12319;8
22021000020330000;187659;11518;8
20002012000030330;1134068;11323;4
10220102103303033;278660;11245;8
10200100203003003;93991;11212;8
20100200103003003;92292;11122;8
10001021000030330;976078;11090;4
11012000020330000;177480;11056;8
20001112200033333;266381;11038;8
12201010033030300;1612799;11029;8
10012101200333033;74096;10569;8
20001102000033030;205720;10547;4
21102020033030300;1547504;10505;8
10201002003030030;201166;10402;4
20000220100003303;740383;10383;8
12100010033000300;705763;10349;8
20002000100030003;4484375;9860;8
10012200000333000;888145;9858;8
10202010003020300;214494;9763;8
10102012003030230;42669;9703;8
20001120000033300;844550;9661;8
10002012200020333;438560;9521;8
21001021030030320;441549;9503;8
21202120033033300;78264;9374;8
12000100030003000;4574837;9276;8
20000121000003320;210033;9274;8
20002021200030333;30792;9189;8
10210100003202000;139677;8854;8
10012000200330003;1460500;8837;8
20002101200033032;39375;8705;8
20001022200030333;867463;8612;8
20220100002203000;120521;8563;8
